time,q_[0],q_[1],q_[2],q_[3],q_[4],q_[5],q_[6],q_[7],desired_q_[0],desired_q_[1],desired_q_[2],desired_q_[3],desired_q_[4],desired_q_[5],desired_q_[6],desired_q_[7],desired_torque_[0],desired_torque_[1],desired_torque_[2],desired_torque_[3],desired_torque_[4],desired_torque_[5],desired_torque_[6],desired_torque_[7]
0.5733,0.0488,0.1792,-0.9575,0.7033,-0.0211,0.1759,-0.9148,0.8045,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0032,2.5000,1.1221,-1.3904,0.0002
0.5800,0.0491,0.1624,-0.9404,0.8490,0.0092,0.1967,-0.9911,0.7126,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0069,2.5000,1.1221,-1.3904,0.0027
0.5867,0.0203,0.1546,-0.9295,0.7245,0.0379,0.2735,-1.2693,0.8371,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.2970,1.1648,2.5000,0.0100,-2.5000,-2.5000,2.5000,-0.0100
0.5933,-0.0291,0.1525,-0.9225,0.4770,0.0487,0.3515,-1.5690,0.9358,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,2.5000,2.5000,0.0093,-2.5000,-2.5000,2.5000,0.0073
0.6000,-0.0527,0.1600,-0.9196,0.7615,0.0398,0.3431,-1.5599,0.5970,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,2.5000,2.5000,2.5000,-0.0100,-2.5000,-2.5000,2.5000,0.0100
0.6067,-0.0534,0.1866,-0.9200,1.0518,0.0118,0.2454,-1.2262,0.5172,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-2.5000,-0.0100,2.5000,-2.5000,2.5000,0.0036
0.6133,-0.0420,0.2389,-1.0175,0.8282,-0.0081,0.0885,-0.7106,0.7816,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-2.5000,0.0100,2.5000,-2.5000,2.5000,-0.0100
0.6200,-0.0342,0.3214,-1.3755,0.7865,0.0075,0.0137,-0.4634,1.0815,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0100,2.5000,2.5000,2.5000,-0.0100
0.6267,-0.0296,0.3684,-1.7925,1.0929,0.0345,-0.0059,-0.3846,0.9103,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,-0.0100,2.5000,2.5000,2.5000,0.0100
0.6333,-0.0269,0.3633,-1.9476,0.6565,0.0465,0.0226,-0.3963,0.5958,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0100,2.5000,2.5000,2.5000,0.0079
